
2024/10/22 (08:53:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/23 (09:10:16) | ===> btop++ v.1.4.0
2024/10/23 (09:10:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/24 (08:55:00) | ===> btop++ v.1.4.0
2024/10/24 (08:55:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/24 (19:05:03) | ===> btop++ v.1.4.0
2024/10/24 (19:05:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/25 (17:49:32) | ===> btop++ v.1.4.0
2024/10/25 (17:49:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/28 (21:50:20) | ===> btop++ v.1.4.0
2024/10/28 (21:50:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/29 (09:25:35) | ===> btop++ v.1.4.0
2024/10/29 (09:25:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/29 (21:46:50) | ===> btop++ v.1.4.0
2024/10/29 (21:46:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/30 (10:00:07) | ===> btop++ v.1.4.0
2024/10/30 (10:00:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/31 (09:22:22) | ===> btop++ v.1.4.0
2024/10/31 (09:22:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (21:38:07) | ===> btop++ v.1.4.0
2024/11/01 (21:38:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/05 (08:54:24) | ===> btop++ v.1.4.0
2024/11/05 (08:54:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/06 (09:08:05) | ===> btop++ v.1.4.0
2024/11/06 (09:08:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/07 (10:22:57) | ===> btop++ v.1.4.0
2024/11/07 (10:22:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/08 (09:19:25) | ===> btop++ v.1.4.0
2024/11/08 (09:19:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/11 (09:45:34) | ===> btop++ v.1.4.0
2024/11/11 (09:45:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/12 (09:12:09) | ===> btop++ v.1.4.0
2024/11/12 (09:12:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/13 (07:57:14) | ===> btop++ v.1.4.0
2024/11/13 (07:57:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/14 (09:29:57) | ===> btop++ v.1.4.0
2024/11/14 (09:29:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/15 (09:54:24) | ===> btop++ v.1.4.0
2024/11/15 (09:54:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/18 (09:25:19) | ===> btop++ v.1.4.0
